Time,Discharge
13:56:36..248,206.02
13:56:36..359,206.5
13:56:36..457,206.98
13:56:36..552,207.42
13:56:36..648,207.83
13:56:36..759,208.2
13:56:36..856,208.56
13:56:36..952,208.89
13:56:37..047,209.21
13:56:37..160,209.54
13:56:37..256,209.91
13:56:37..352,210.3
13:56:37..449,210.66
13:56:37..560,211.03
13:56:37..655,211.42
13:56:37..754,211.84
13:56:37..847,212.28
13:56:37..959,212.74
13:56:38..057,213.21
13:56:38..150,213.66
13:56:38..246,214.09
13:56:38..359,214.49
13:56:38..455,214.88
13:56:38..551,213.85
13:56:38..649,212.84
13:56:38..761,211.82
13:56:38..855,210.85
13:56:38..953,209.9
13:56:39..047,208.93
13:56:39..160,207.98
13:56:39..255,207.09
13:56:39..351,206.22
13:56:39..447,205.37
13:56:39..560,205.93
13:56:39..656,206.54
13:56:39..757,207.19
13:56:39..847,207.8
13:56:39..960,208.39
13:56:40..058,209.04
13:56:40..152,209.67
13:56:40..249,210.29
13:56:40..359,210.91
13:56:40..456,211.56
13:56:40..554,212.22
13:56:40..648,212.83
13:56:40..760,213.44
13:56:40..855,214.05
13:56:40..952,214.62
13:56:41..047,215.18
13:56:41..160,215.71
13:56:41..257,216.2
13:56:41..353,216.72
13:56:41..474,217.22
13:56:41..560,217.69
13:56:41..655,218.1
13:56:41..753,218.48
13:56:41..844,218.83
13:56:41..956,219.19
13:56:42..055,219.52
13:56:42..152,219.86
13:56:42..248,220.22
13:56:42..362,220.54
13:56:42..458,220.82
13:56:42..552,221.09
13:56:42..649,221.37
13:56:42..760,221.61
13:56:42..856,221.84
13:56:42..953,222.04
13:56:43..047,222.22
13:56:43..160,222.39
13:56:43..257,222.51
13:56:43..352,222.62
13:56:43..448,222.75
13:56:43..561,222.88
13:56:43..656,222.98
13:56:43..753,223.08
13:56:43..848,223.18
13:56:43..959,223.27
13:56:44..055,223.36
13:56:44..146,223.42
13:56:44..243,223.49
13:56:44..358,223.54
13:56:44..452,223.56
13:56:44..551,223.57
13:56:44..642,223.61
13:56:44..760,223.65
13:56:44..856,223.65
13:56:44..953,223.68
13:56:45..047,223.73
13:56:45..160,223.81
13:56:45..255,223.88
13:56:45..352,223.95
13:56:45..449,224.03
13:56:45..560,224.09
13:56:45..656,224.13
13:56:45..750,224.19
13:56:45..849,224.23
13:56:45..962,224.25
13:56:46..057,224.25
13:56:46..153,224.24
13:56:46..250,224.25
13:56:46..360,224.29
13:56:46..456,224.34
13:56:46..553,224.42
13:56:46..648,224.51
13:56:46..760,224.62
13:56:46..855,224.76
13:56:46..955,224.92
13:56:47..049,225.06
13:56:47..155,225.19
13:56:47..256,225.31
13:56:47..352,225.38
13:56:47..449,225.45
13:56:47..560,225.48
13:56:47..655,225.47
13:56:47..753,225.46
13:56:47..848,225.42
13:56:47..960,225.36
13:56:48..057,225.32
13:56:48..154,225.29
13:56:48..248,225.24
13:56:48..362,225.17
13:56:48..456,225.11
13:56:48..547,225.08
13:56:48..648,225.09
13:56:48..761,225.14
13:56:48..853,225.2
13:56:48..952,225.26
13:56:49..048,223.9
13:56:49..160,222.55
13:56:49..257,221.25
13:56:49..349,220.05
13:56:49..448,218.89
13:56:49..559,217.77
13:56:49..656,216.68
13:56:49..753,215.59
13:56:49..850,214.54
13:56:49..961,213.55
13:56:50..055,214.01
13:56:50..153,214.51
13:56:50..248,215.02
13:56:50..360,215.51
13:56:50..457,215.98
13:56:50..554,216.47
13:56:50..648,216.94
13:56:50..759,217.41
13:56:50..856,217.87
13:56:50..954,218.31
13:56:51..048,218.7
13:56:51..163,219.06
13:56:51..256,219.34
13:56:51..355,219.6
13:56:51..450,219.83
13:56:51..560,220.06
13:56:51..656,220.28
13:56:51..752,220.49
13:56:51..857,220.68
13:56:51..960,220.89
13:56:52..056,222.5
13:56:52..153,224.13
13:56:52..248,227.22
13:56:52..360,230.29
13:56:52..456,233.33
13:56:52..552,236.28
13:56:52..648,239.12
13:56:52..764,241.89
13:56:52..856,244.62
13:56:52..952,247.31
13:56:53..046,248.57
13:56:53..161,249.75
13:56:53..256,249.49
13:56:53..352,249.18
13:56:53..448,248.84
13:56:53..560,248.5
13:56:53..655,248.19
13:56:53..751,247.89
13:56:53..848,247.57
13:56:53..960,247.22
13:56:54..055,246.86
13:56:54..152,246.48
13:56:54..247,246.08
13:56:54..361,245.68
13:56:54..456,245.3
13:56:54..554,244.88
13:56:54..650,244.44
13:56:54..760,243.98
13:56:54..855,243.46
13:56:54..954,242.93
13:56:55..048,242.46
13:56:55..162,242.04
13:56:55..255,241.64
13:56:55..353,241.28
13:56:55..449,240.96
13:56:55..560,240.7
13:56:55..656,241.82
13:56:55..754,242.98
13:56:55..846,244.22
13:56:55..961,245.45
13:56:56..056,246.62
13:56:56..152,247.75
13:56:56..248,248.87
13:56:56..360,249.95
13:56:56..456,251.01
13:56:56..554,252.05
13:56:56..649,251.68
13:56:56..760,251.29
13:56:56..855,250.91
13:56:56..953,250.52
13:56:57..048,250.13
13:56:57..160,249.73
13:56:57..256,249.32
13:56:57..352,248.93
13:56:57..447,248.54
13:56:57..560,248.12
13:56:57..656,247.73
13:56:57..766,247.34
13:56:57..848,246.94
13:56:57..961,246.56
13:56:58..057,246.23
13:56:58..153,245.93
13:56:58..249,245.63
13:56:58..361,245.32
13:56:58..456,245.01
13:56:58..553,244.72
13:56:58..647,244.42
13:56:58..760,244.13
13:56:58..850,243.85
13:56:58..952,243.55
13:56:59..047,243.22
13:56:59..160,242.86
13:56:59..255,242.51
13:56:59..354,243.52
13:56:59..448,244.5
13:56:59..560,245.47
13:56:59..657,246.43
13:56:59..754,247.38
13:56:59..843,249.69
13:56:59..960,251.98
13:57:00..056,254.26
13:57:00..153,256.49
13:57:00..248,258.7
13:57:00..359,259.52
13:57:00..457,260.32
13:57:00..551,261.11
13:57:00..648,261.9
13:57:00..763,262.67
13:57:00..854,262.05
13:57:00..953,261.43
13:57:01..047,260.8
13:57:01..160,260.19
13:57:01..256,259.58
13:57:01..354,258.99
13:57:01..448,258.42
13:57:01..560,257.88
13:57:01..657,257.32
13:57:01..753,256.78
13:57:01..849,256.23
13:57:01..959,255.67
13:57:02..057,255.13
13:57:02..154,253.18
13:57:02..250,251.26
13:57:02..360,249.36
13:57:02..456,247.53
13:57:02..552,245.73
13:57:02..649,244
13:57:02..761,242.3
13:57:02..856,240.64
13:57:02..953,239.05
13:57:03..048,237.54
13:57:03..160,237.49
13:57:03..256,237.47
13:57:03..387,237.48
13:57:03..448,237.47
13:57:03..560,237.48
13:57:03..656,237.5
13:57:03..754,237.54
13:57:03..847,237.58
13:57:03..956,237.59
13:57:04..052,237.59
13:57:04..153,237.54
13:57:04..249,237.49
13:57:04..355,237.4
13:57:04..456,237.3
13:57:04..552,237.16
13:57:04..647,237
13:57:04..761,236.84
13:57:04..855,236.63
13:57:04..952,236.38
13:57:05..048,236.16
13:57:05..160,235.94
13:57:05..259,235.7
13:57:05..353,235.45
13:57:05..447,235.18
13:57:05..561,234.88
13:57:05..656,234.57
13:57:05..754,234.24
13:57:05..849,233.94
13:57:05..961,233.65
13:57:06..056,233.34
13:57:06..154,233.02
13:57:06..248,232.7
13:57:06..362,232.42
13:57:06..456,232.17
13:57:06..552,231.92
13:57:06..648,231.72
13:57:06..762,231.51
13:57:06..855,231.35
13:57:06..952,231.21
13:57:07..050,231.07
13:57:07..160,230.93
13:57:07..257,230.8
13:57:07..352,230.67
13:57:07..447,230.58
13:57:07..560,230.53
13:57:07..656,230.49
13:57:07..754,230.49
13:57:07..849,230.5
13:57:07..960,230.53
13:57:08..056,230.6
13:57:08..153,230.7
13:57:08..248,230.81
13:57:08..360,230.91
13:57:08..456,231.02
13:57:08..553,231.1
13:57:08..650,231.15
13:57:08..760,231.2
13:57:08..856,232.65
13:57:08..954,234.07
13:57:09..048,235.5
13:57:09..155,236.92
13:57:09..255,238.3
13:57:09..353,239.68
13:57:09..449,241.03
13:57:09..560,242.35
13:57:09..655,243.68
13:57:09..753,244.92
13:57:09..849,244.72
13:57:09..960,244.48
13:57:10..058,242.81
13:57:10..150,241.14
13:57:10..248,239.55
13:57:10..360,238.02
13:57:10..457,236.51
13:57:10..552,235.06
13:57:10..650,233.63
13:57:10..760,232.28
13:57:10..856,230.95
13:57:10..953,229.7
13:57:11..049,229.87
13:57:11..160,230.06
13:57:11..258,230.19
13:57:11..352,230.29
13:57:11..451,230.39
13:57:11..560,230.45
13:57:11..658,230.45
13:57:11..752,230.42
13:57:11..850,230.39
13:57:11..959,230.31
13:57:12..057,230.18
13:57:12..151,230.04
13:57:12..249,229.91
13:57:12..360,229.77
13:57:12..456,229.61
13:57:12..553,229.45
13:57:12..648,229.34
13:57:12..760,229.21
13:57:12..856,229.09
13:57:12..952,230.4
13:57:13..048,231.72
13:57:13..161,233.01
13:57:13..256,234.3
13:57:13..354,235.53
13:57:13..448,236.77
13:57:13..559,239.38
13:57:13..656,244.68
13:57:13..753,251.28
13:57:13..849,260.48
13:57:13..959,269.47
13:57:14..055,278.25
13:57:14..152,286.81
13:57:14..248,295.14
13:57:14..360,303.26
13:57:14..457,311.17
13:57:14..547,317.49
13:57:14..649,320.88
13:57:14..760,322.76
13:57:14..856,321.82
13:57:14..953,319.53
13:57:15..050,317.29
13:57:15..160,315.1
13:57:15..257,312.98
13:57:15..353,310.94
13:57:15..449,308.97
13:57:15..560,307.09
13:57:15..656,305.29
13:57:15..754,303.56
13:57:15..850,301.87
13:57:15..963,300.21
13:57:16..058,298.54
13:57:16..152,298.29
13:57:16..249,298.04
13:57:16..361,297.81
13:57:16..455,297.59
13:57:16..552,297.33
13:57:16..650,297.06
13:57:16..761,298.17
13:57:16..856,299.27
13:57:16..953,300.31
13:57:17..049,302.72
13:57:17..160,303.72
13:57:17..257,304.7
13:57:17..352,305.6
13:57:17..449,306.48
13:57:17..559,307.34
13:57:17..656,308.18
13:57:17..752,307.61
13:57:17..849,307.08
13:57:17..960,306.57
13:57:18..056,304.7
13:57:18..153,302.84
13:57:18..249,300.99
13:57:18..360,299.19
13:57:18..457,297.41
13:57:18..552,295.62
13:57:18..650,293.85
13:57:18..760,292.08
13:57:18..858,290.29
13:57:18..953,288.51
13:57:19..049,286.77
13:57:19..159,285.07
13:57:19..257,283.41
13:57:19..351,281.78
13:57:19..448,280.18
13:57:19..559,278.67
13:57:19..687,278.6
13:57:19..751,278.59
13:57:19..847,278.64
13:57:19..960,278.73
13:57:20..057,278.82
13:57:20..152,278.91
13:57:20..250,279.01
13:57:20..363,279.17
13:57:20..457,279.32
13:57:20..552,279.48
13:57:20..649,278.22
13:57:20..760,276.96
13:57:20..858,275.72
13:57:20..952,274.49
13:57:21..048,273.29
13:57:21..161,272.16
13:57:21..257,271.06
13:57:21..352,269.93
13:57:21..450,268.83
13:57:21..559,267.74
13:57:21..658,266.71
13:57:21..754,265.69
13:57:21..849,264.71
13:57:21..960,263.75
13:57:22..057,262.77
13:57:22..153,261.82
13:57:22..248,260.91
13:57:22..361,260.06
13:57:22..457,259.25
13:57:22..554,258.49
13:57:22..650,257.76
13:57:22..761,257.09
13:57:22..857,256.46
13:57:22..954,255.84
13:57:23..048,256.64
13:57:23..160,257.4
13:57:23..259,258.15
13:57:23..352,260.24
13:57:23..448,265.07
13:57:23..560,271.15
13:57:23..656,277.09
13:57:23..752,282.88
13:57:23..848,288.49
13:57:23..960,293.99
13:57:24..057,297.97
13:57:24..152,301.86
13:57:24..248,305.64
13:57:24..361,307.91
13:57:24..456,307.33
13:57:24..560,305.38
13:57:24..648,303.45
13:57:24..758,301.55
13:57:24..855,299.69
13:57:24..953,297.9
13:57:25..050,296.16
13:57:25..161,294.44
13:57:25..265,292.79
13:57:25..352,291.22
13:57:25..450,289.7
13:57:25..560,288.22
13:57:25..657,286.78
13:57:25..754,285.38
13:57:25..848,284.01
13:57:25..959,282.67
13:57:26..056,281.36
13:57:26..152,280.06
13:57:26..250,278.79
13:57:26..360,277.55
13:57:26..457,276.36
13:57:26..552,275.2
13:57:26..649,274.07
13:57:26..760,272.94
13:57:26..856,273.22
13:57:26..952,273.49
13:57:27..048,273.74
13:57:27..160,274.01
13:57:27..257,275.63
13:57:27..354,277.23
13:57:27..448,278.81
13:57:27..560,280.4
13:57:27..657,281.99
13:57:27..753,284.96
13:57:27..849,286.55
13:57:27..960,288.1
13:57:28..056,289.67
13:57:28..152,291.23
13:57:28..248,291.42
13:57:28..360,291.62
13:57:28..457,291.82
13:57:28..551,291.98
13:57:28..648,292.13
13:57:28..758,290.88
13:57:28..856,289.61
13:57:28..952,288.35
13:57:29..048,287.09
13:57:29..159,285.82
13:57:29..256,284.55
13:57:29..353,283.28
13:57:29..448,282.02
13:57:29..560,280.77
13:57:29..656,279.54
13:57:29..751,278.31
13:57:29..843,277.1
13:57:29..962,275.92
13:57:30..057,274.74
13:57:30..152,273.57
13:57:30..245,272.42
13:57:30..360,271.3
13:57:30..458,270.18
13:57:30..553,269.06
13:57:30..649,267.96
13:57:30..760,266.9
13:57:30..878,265.86
13:57:30..949,264.84
13:57:31..045,263.87
13:57:31..160,262.94
13:57:31..252,262.01
13:57:31..351,261.1
13:57:31..443,260.25
13:57:31..555,259.45
13:57:31..653,258.71
13:57:31..746,257.97
13:57:31..845,257.3
13:57:31..956,256.67
13:57:32..051,256.1
13:57:32..152,255.56
13:57:32..244,255.06
13:57:32..354,254.59
13:57:32..456,254.1
13:57:32..546,253.61
13:57:32..644,253.11
13:57:32..754,252.63
13:57:32..850,252.14
13:57:32..952,251.63
13:57:33..048,251.11
13:57:33..159,250.62
13:57:33..253,250.11
13:57:33..353,249.59
13:57:33..447,249.05
13:57:33..560,248.48
13:57:33..659,247.91
13:57:33..753,247.34
13:57:33..849,246.76
13:57:33..961,246.17
13:57:34..057,245.54
13:57:34..152,244.88
13:57:34..248,244.24
13:57:34..361,243.61
13:57:34..458,243.03
13:57:34..553,242.49
13:57:34..652,241.94
13:57:34..762,241.41
13:57:34..856,240.89
13:57:34..950,240.4
13:57:35..048,239.95
13:57:35..155,239.54
13:57:35..256,239.17
13:57:35..351,238.78
13:57:35..449,238.38
13:57:35..560,238
13:57:35..655,237.67
13:57:35..751,237.36
13:57:35..849,237.09
13:57:35..959,236.86
13:57:36..059,236.65
13:57:36..152,236.47
13:57:36..248,236.29
13:57:36..360,236.12
13:57:36..482,235.98
13:57:36..552,235.85
13:57:36..650,235.72
13:57:36..762,235.59
13:57:36..856,235.41
13:57:36..954,233.81
13:57:37..049,232.2
13:57:37..160,230.59
13:57:37..258,229.06
13:57:37..352,227.57
13:57:37..450,226.1
13:57:37..559,224.65
13:57:37..657,223.22
13:57:37..752,223.19
13:57:37..848,223.21
13:57:37..962,224.66
13:57:38..057,226.08
13:57:38..152,227.45
13:57:38..249,228.78
13:57:38..361,230.1
13:57:38..458,231.4
13:57:38..552,232.69
13:57:38..648,233.98
13:57:38..760,233.86
13:57:38..856,233.75
13:57:38..954,233.62
13:57:39..049,233.51
13:57:39..160,233.44
13:57:39..256,233.35
13:57:39..352,233.23
13:57:39..449,233.1
13:57:39..560,232.97
13:57:39..656,232.85
13:57:39..748,232.75
13:57:39..851,232.65
13:57:39..960,232.57
13:57:40..057,232.51
13:57:40..153,232.44
13:57:40..248,232.38
13:57:40..355,232.34
13:57:40..456,232.32
13:57:40..551,232.27
13:57:40..650,232.22
13:57:40..760,232.12
13:57:40..854,232
13:57:40..952,231.88
13:57:41..048,231.75
13:57:41..160,231.61
13:57:41..257,231.46
13:57:41..352,231.28
13:57:41..448,231.12
13:57:41..560,230.99
13:57:41..656,229.49
13:57:41..752,228.04
13:57:41..848,226.63
13:57:41..960,225.23
13:57:42..080,223.86
13:57:42..152,222.48
13:57:42..249,221.16
13:57:42..360,219.88
13:57:42..456,218.61
13:57:42..553,217.36
13:57:42..648,217.49
13:57:42..763,217.65
13:57:42..857,217.87
13:57:42..954,218.12
13:57:43..050,218.42
13:57:43..160,218.75
13:57:43..257,219.09
13:57:43..354,219.46
13:57:43..448,219.83
13:57:43..560,220.2
13:57:43..656,220.61
13:57:43..753,221.03
13:57:43..849,221.4
13:57:43..961,221.73
13:57:44..056,222.02
13:57:44..152,222.31
13:57:44..248,222.58
13:57:44..360,222.83
13:57:44..457,223.09
13:57:44..552,224.73
13:57:44..648,226.33
13:57:44..761,227.8
13:57:44..857,229.3
13:57:44..954,230.79
13:57:45..047,232.24
13:57:45..156,233.63
13:57:45..251,235.02
13:57:45..352,236.35
13:57:45..448,237.64
13:57:45..560,237.5
13:57:45..656,237.38
13:57:45..754,237.28
13:57:45..847,237.16
13:57:45..962,237.06
13:57:46..059,237
13:57:46..154,236.98
13:57:46..249,236.99
13:57:46..360,237.01
13:57:46..457,237.07
13:57:46..554,237.15
13:57:46..650,237.22
13:57:46..762,237.32
13:57:46..856,237.43
13:57:46..948,237.54
13:57:47..046,237.6
13:57:47..161,237.65
13:57:47..251,237.67
13:57:47..352,237.7
13:57:47..447,237.73
13:57:47..560,237.74
13:57:47..689,239.15
13:57:47..754,240.56
13:57:47..844,243.35
13:57:47..956,246.1
13:57:48..054,248.79
13:57:48..151,251.42
13:57:48..243,253.99
13:57:48..361,256.5
13:57:48..454,258.92
13:57:48..548,261.29
13:57:48..649,262.23
13:57:48..761,263.13
13:57:48..856,262.59
13:57:48..953,262
13:57:49..047,261.42
13:57:49..161,260.86
13:57:49..256,260.32
13:57:49..353,259.74
13:57:49..448,259.18
13:57:49..560,258.61
13:57:49..656,258.02
13:57:49..753,257.44
13:57:49..850,256.87
13:57:49..960,256.31
13:57:50..056,255.75
13:57:50..155,255.18
13:57:50..243,254.61
13:57:50..359,254.06
13:57:50..458,253.52
13:57:50..554,253.01
13:57:50..648,252.52
13:57:50..760,252.02
13:57:50..856,251.53
13:57:50..953,251.06
13:57:51..047,250.59
13:57:51..162,250.19
13:57:51..257,249.79
13:57:51..352,249.39
13:57:51..448,248.97
13:57:51..561,248.55
13:57:51..656,248.13
13:57:51..754,247.69
13:57:51..849,247.23
13:57:51..960,245.36
13:57:52..056,243.51
13:57:52..152,241.66
13:57:52..249,239.83
13:57:52..360,238.05
13:57:52..457,236.33
13:57:52..551,234.65
13:57:52..648,232.98
13:57:52..760,231.35
13:57:52..856,229.79
13:57:52..954,229.65
13:57:53..050,229.56
13:57:53..161,229.48
13:57:53..257,229.42
13:57:53..352,229.39
13:57:53..443,229.37
13:57:53..560,229.36
13:57:53..657,229.35
13:57:53..752,229.36
13:57:53..850,229.38
13:57:53..960,229.4
13:57:54..053,229.4
13:57:54..152,229.38
13:57:54..250,229.34
13:57:54..360,229.33
13:57:54..458,229.34
13:57:54..554,229.35
13:57:54..649,229.35
13:57:54..760,229.34
13:57:54..856,229.34
13:57:54..953,229.33
13:57:55..048,230.68
13:57:55..160,232
13:57:55..256,233.31
13:57:55..347,234.58
13:57:55..449,235.79
13:57:55..559,236.96
13:57:55..656,238.13
13:57:55..752,239.28
13:57:55..847,240.39
13:57:55..960,241.48
13:57:56..055,241.15
13:57:56..152,240.81
13:57:56..248,240.47
13:57:56..360,240.11
13:57:56..451,239.77
13:57:56..549,239.46
13:57:56..649,239.16
13:57:56..761,238.84
13:57:56..857,238.53
13:57:56..953,238.28
13:57:57..050,238.09
13:57:57..161,237.96
13:57:57..257,237.82
13:57:57..352,237.69
13:57:57..448,237.56
13:57:57..560,237.42
13:57:57..657,237.31
13:57:57..753,237.2
13:57:57..848,237.12
13:57:57..961,236.99
13:57:58..055,236.84
13:57:58..152,236.63
13:57:58..243,236.43
13:57:58..355,236.24
13:57:58..456,236.09
13:57:58..554,237.34
13:57:58..650,238.57
13:57:58..761,239.78
13:57:58..856,240.94
13:57:58..953,240.7
13:57:59..048,240.46
13:57:59..161,240.25
13:57:59..256,240.05
13:57:59..354,239.83
13:57:59..450,239.56
13:57:59..560,237.89
13:57:59..657,236.23
13:57:59..752,234.57
13:57:59..849,232.97
13:57:59..960,232.77
13:58:00..056,232.57
13:58:00..152,232.39
13:58:00..250,232.24
13:58:00..360,232.13
13:58:00..457,232.03
13:58:00..552,231.93
13:58:00..648,231.86
13:58:00..761,231.82
13:58:00..857,231.82
13:58:00..953,231.87
13:58:01..050,231.97
13:58:01..161,232.04
13:58:01..256,232.09
13:58:01..352,232.16
13:58:01..447,232.22
13:58:01..560,232.26
13:58:01..657,232.26
13:58:01..755,232.27
13:58:01..849,232.21
13:58:01..960,233.46
13:58:02..058,234.67
13:58:02..153,234.46
13:58:02..248,234.25
13:58:02..360,233.99
13:58:02..456,233.74
13:58:02..553,233.55
13:58:02..644,232.04
13:58:02..760,230.53
13:58:02..855,229.07
13:58:02..953,226.3
13:58:03..048,223.58
13:58:03..161,222.32
13:58:03..256,221.1
13:58:03..354,219.93
13:58:03..448,218.78
13:58:03..560,217.61
13:58:03..657,217.8
13:58:03..754,218.01
13:58:03..849,218.22
13:58:03..964,218.39
13:58:04..056,218.56
13:58:04..155,218.68
13:58:04..248,218.77
13:58:04..360,218.84
13:58:04..459,218.89
13:58:04..552,218.94
13:58:04..649,218.97
13:58:04..762,219.03
13:58:04..856,219.07
13:58:04..953,219.13
13:58:05..048,219.2
13:58:05..160,219.3
13:58:05..256,219.38
13:58:05..354,219.5
13:58:05..448,219.62
13:58:05..559,221.12
13:58:05..656,222.62
13:58:05..752,224.04
13:58:05..848,225.4
13:58:05..961,226.76
13:58:06..056,228.11
13:58:06..152,229.46
13:58:06..243,230.84
13:58:06..357,232.16
13:58:06..458,233.48
13:58:06..553,233.42
13:58:06..650,233.37
13:58:06..761,233.38
13:58:06..855,233.41
13:58:06..953,233.41
13:58:07..047,233.38
13:58:07..160,233.31
13:58:07..258,233.23
13:58:07..349,233.21
13:58:07..449,233.22
13:58:07..561,233.21
13:58:07..657,233.19
13:58:07..752,233.14
13:58:07..846,233.12
13:58:07..959,233.16
13:58:08..056,233.25
13:58:08..153,233.34
13:58:08..247,233.38
13:58:08..359,233.4
13:58:08..457,233.39
13:58:08..552,233.35
13:58:08..649,233.32
13:58:08..760,233.28
13:58:08..855,234.6
13:58:08..970,235.84
13:58:09..048,236.99
13:58:09..161,238.09
13:58:09..257,239.19
13:58:09..354,240.25
13:58:09..449,241.27
13:58:09..555,242.28
13:58:09..782,243.25
13:58:09..793,244.2
13:58:09..865,243.75
13:58:09..961,243.3
13:58:10..054,242.86
13:58:10..150,242.46
13:58:10..248,242.07
13:58:10..360,241.66
13:58:10..450,241.27
13:58:10..551,240.87
13:58:10..643,240.42
13:58:10..755,239.95
13:58:10..851,239.45
13:58:10..949,238.93
13:58:11..045,238.41
13:58:11..154,237.86
13:58:11..256,237.27
13:58:11..352,236.66
13:58:11..448,236.04
13:58:11..560,235.45
13:58:11..655,234.92
13:58:11..752,234.42
13:58:11..848,233.94
13:58:11..961,233.53
13:58:12..055,233.2
13:58:12..152,232.91
13:58:12..244,232.64
13:58:12..357,233.79
13:58:12..456,234.91
13:58:12..552,235.99
13:58:12..652,237.06
13:58:12..756,239.5
13:58:12..851,241.9
13:58:12..952,244.15
13:58:13..050,246.3
13:58:13..161,248.42
13:58:13..257,250.52
13:58:13..353,251.21
13:58:13..451,251.9
13:58:13..560,252.63
13:58:13..657,253.34
13:58:13..754,252.63
13:58:13..848,251.97
13:58:13..960,251.4
13:58:14..057,250.9
13:58:14..153,250.42
13:58:14..248,249.98
13:58:14..360,249.56
13:58:14..456,249.16
13:58:14..553,248.75
13:58:14..648,248.35
13:58:14..760,247.98
13:58:14..856,247.63
13:58:14..953,247.31
13:58:15..048,246.95
13:58:15..162,246.59
13:58:15..257,246.22
13:58:15..352,247.23
13:58:15..448,248.21
13:58:15..560,249.16
13:58:15..657,248.71
13:58:15..752,248.26
13:58:15..848,247.81
13:58:15..960,248.74
13:58:16..058,249.67
13:58:16..152,250.55
13:58:16..249,251.44
13:58:16..360,250.93
13:58:16..456,249.06
13:58:16..547,247.25
13:58:16..643,246.86
13:58:16..760,246.49
13:58:16..856,246.13
13:58:16..955,244.4
13:58:17..048,242.69
13:58:17..163,241.05
13:58:17..258,239.37
13:58:17..352,237.71
13:58:17..448,237.43
13:58:17..560,237.17
13:58:17..654,236.95
13:58:17..755,236.72
13:58:17..849,236.49
13:58:17..960,236.24
13:58:18..056,236
13:58:18..153,235.77
13:58:18..249,235.58
13:58:18..361,236.8
13:58:18..456,238
13:58:18..552,239.16
13:58:18..648,240.27
13:58:18..762,241.33
13:58:18..856,242.36
13:58:18..954,243.37
13:58:19..049,244.33
13:58:19..162,245.28
13:58:19..257,246.17
13:58:19..354,245.68
13:58:19..449,245.18
13:58:19..560,243.29
13:58:19..657,241.44
13:58:19..753,239.66
13:58:19..849,236.55
13:58:19..960,233.52
13:58:20..056,230.57
13:58:20..153,227.72
13:58:20..248,225.01
13:58:20..361,222.38
13:58:20..457,219.84
13:58:20..553,218.76
13:58:20..648,217.72
13:58:20..759,216.7
13:58:20..854,217.08
13:58:20..952,217.47
13:58:21..048,217.86
13:58:21..160,218.25
13:58:21..256,218.6
13:58:21..353,218.91
13:58:21..449,219.2
13:58:21..560,219.5
13:58:21..657,219.81
13:58:21..751,220.1
13:58:21..847,220.38
13:58:21..960,220.64
13:58:22..057,220.91
13:58:22..151,221.14
13:58:22..249,221.34
13:58:22..361,221.54
13:58:22..458,221.7
13:58:22..553,221.8
13:58:22..649,221.93
13:58:22..762,222.05
13:58:22..856,222.15
13:58:22..953,222.2
13:58:23..050,222.23
13:58:23..160,222.24
13:58:23..256,222.28
13:58:23..354,222.3
13:58:23..448,222.33
13:58:23..560,222.39
13:58:23..658,222.43
13:58:23..753,222.47
13:58:23..850,222.56
13:58:23..960,222.68
13:58:24..057,222.77
13:58:24..152,222.88
13:58:24..249,222.98
13:58:24..360,223.1
13:58:24..459,223.26
13:58:24..553,223.43
13:58:24..650,223.61
13:58:24..760,223.79
13:58:24..856,223.93
13:58:24..952,224.09
13:58:25..048,224.26
13:58:25..159,224.4
13:58:25..257,224.58
13:58:25..355,224.79
13:58:25..450,224.97
13:58:25..560,225.15
13:58:25..657,225.3
13:58:25..747,225.44
13:58:25..848,225.6
13:58:25..956,225.76
13:58:26..056,225.96
13:58:26..152,226.17
13:58:26..247,226.35
13:58:26..361,226.48
13:58:26..458,226.64
13:58:26..552,226.8
13:58:26..649,226.97
13:58:26..761,227.18
13:58:26..857,228.77
13:58:26..948,230.34
13:58:27..048,231.86
13:58:27..161,233.34
13:58:27..258,234.77
13:58:27..351,236.13
13:58:27..448,237.44
13:58:27..560,238.68
13:58:27..658,239.89
13:58:27..754,241.01
13:58:27..848,240.69
13:58:27..960,240.32
13:58:28..057,239.92
13:58:28..151,239.52
13:58:28..249,239.14
13:58:28..361,238.8
13:58:28..457,238.43
13:58:28..553,238.05
13:58:28..649,237.64
13:58:28..762,237.25
13:58:28..856,236.88
13:58:28..952,236.51
13:58:29..048,236.19
13:58:29..163,235.87
13:58:29..258,235.52
13:58:29..349,236.52
13:58:29..451,237.52
13:58:29..560,238.54
13:58:29..657,239.55
13:58:29..753,240.55
13:58:29..849,241.52
13:58:29..960,242.52
13:58:30..056,243.52
13:58:30..152,244.51
13:58:30..248,246.91
13:58:30..361,247.93
13:58:30..456,250.32
13:58:30..553,252.65
13:58:30..651,254.95
13:58:30..760,257.18
13:58:30..856,259.35
13:58:30..953,261.45
13:58:31..048,263.49
13:58:31..160,265.48
13:58:31..257,266.05
13:58:31..356,266.59
13:58:31..450,265.74
13:58:31..560,264.92
13:58:31..657,264.15
13:58:31..753,263.4
13:58:31..848,262.69
13:58:31..959,262
13:58:32..057,261.35
13:58:32..152,260.7
13:58:32..249,260.06
13:58:32..360,259.45
13:58:32..457,258.87
13:58:32..553,258.28
13:58:32..650,257.69
13:58:32..760,257.18
13:58:32..856,256.69
