Time,Discharge
13:55:06..243,233.52
13:55:06..356,233.6
13:55:06..451,233.67
13:55:06..548,233.74
13:55:06..644,233.81
13:55:06..756,233.86
13:55:06..851,233.9
13:55:06..949,233.91
13:55:07..044,233.91
13:55:07..157,233.91
13:55:07..252,233.91
13:55:07..349,233.92
13:55:07..444,233.9
13:55:07..556,235.23
13:55:07..652,236.52
13:55:07..750,237.75
13:55:07..843,238.93
13:55:07..956,240.13
13:55:08..052,241.28
13:55:08..148,242.37
13:55:08..244,243.45
13:55:08..355,244.52
13:55:08..452,245.59
13:55:08..548,245.28
13:55:08..644,244.99
13:55:08..756,244.74
13:55:08..853,244.54
13:55:08..948,244.33
13:55:09..046,244.14
13:55:09..156,244
13:55:09..252,243.86
13:55:09..349,243.71
13:55:09..442,243.56
13:55:09..555,243.42
13:55:09..654,243.3
13:55:09..748,243.19
13:55:09..845,243.05
13:55:09..956,242.91
13:55:10..052,242.76
13:55:10..148,242.55
13:55:10..244,242.35
13:55:10..355,242.17
13:55:10..453,241.96
13:55:10..547,241.71
13:55:10..645,241.44
13:55:10..756,242.54
13:55:10..852,243.63
13:55:10..949,244.71
13:55:11..044,245.76
13:55:11..156,246.82
13:55:11..252,247.84
13:55:11..348,248.82
13:55:11..444,249.78
13:55:11..555,250.75
13:55:11..652,251.7
13:55:11..747,251.21
13:55:11..844,250.7
13:55:11..956,250.17
13:55:12..053,249.65
13:55:12..149,249.12
13:55:12..244,248.58
13:55:12..356,248.04
13:55:12..452,247.48
13:55:12..547,246.97
13:55:12..644,246.45
13:55:12..756,245.99
13:55:12..852,245.53
13:55:12..948,245.12
13:55:13..044,244.71
13:55:13..158,244.32
13:55:13..252,243.97
13:55:13..348,243.67
13:55:13..444,243.42
13:55:13..557,243.16
13:55:13..652,242.9
13:55:13..749,242.64
13:55:13..847,242.39
13:55:13..957,242.11
13:55:14..052,241.84
13:55:14..149,241.59
13:55:14..244,241.4
13:55:14..356,241.19
13:55:14..452,241
13:55:14..546,240.79
13:55:14..644,240.63
13:55:14..756,240.47
13:55:14..852,240.32
13:55:14..948,238.8
13:55:15..044,237.3
13:55:15..155,237.19
13:55:15..252,237.05
13:55:15..347,236.88
13:55:15..445,236.7
13:55:15..555,236.54
13:55:15..653,236.34
13:55:15..748,236.15
13:55:15..844,235.97
13:55:15..957,237.18
13:55:16..054,238.37
13:55:16..148,238.14
13:55:16..246,237.92
13:55:16..356,237.74
13:55:16..454,237.58
13:55:16..548,237.39
13:55:16..644,237.24
13:55:16..756,237.08
13:55:16..854,236.85
13:55:16..949,236.64
13:55:17..044,236.45
13:55:17..156,236.29
13:55:17..252,236.1
13:55:17..349,235.9
13:55:17..445,235.69
13:55:17..556,235.49
13:55:17..653,235.28
13:55:17..750,235.1
13:55:17..845,235
13:55:17..955,234.92
13:55:18..051,234.81
13:55:18..148,234.66
13:55:18..245,234.54
13:55:18..356,234.43
13:55:18..452,235.71
13:55:18..548,237.02
13:55:18..644,238.32
13:55:18..756,240.97
13:55:18..853,243.56
13:55:18..948,246.09
13:55:19..045,248.6
13:55:19..157,251.1
13:55:19..253,253.55
13:55:19..348,255.94
13:55:19..446,256.86
13:55:19..556,257.73
13:55:19..652,258.54
13:55:19..748,257.92
13:55:19..845,257.28
13:55:19..956,256.65
13:55:20..053,256.02
13:55:20..147,255.42
13:55:20..245,254.82
13:55:20..355,254.29
13:55:20..453,253.82
13:55:20..550,254.74
13:55:20..678,255.71
13:55:20..756,256.74
13:55:20..853,257.77
13:55:20..949,258.78
13:55:21..044,259.76
13:55:21..157,260.69
13:55:21..253,261.61
13:55:21..348,262.49
13:55:21..445,263.33
13:55:21..556,262.76
13:55:21..653,262.18
13:55:21..748,261.56
13:55:21..846,260.93
13:55:21..958,260.29
13:55:22..053,259.72
13:55:22..149,259.17
13:55:22..245,258.6
13:55:22..356,258.05
13:55:22..454,257.49
13:55:22..548,256.97
13:55:22..644,256.41
13:55:22..758,255.86
13:55:22..853,255.32
13:55:22..948,254.79
13:55:23..045,254.23
13:55:23..155,253.71
13:55:23..252,253.21
13:55:23..349,252.72
13:55:23..445,252.26
13:55:23..557,251.83
13:55:23..653,251.44
13:55:23..750,251.1
13:55:23..846,250.82
13:55:23..958,250.59
13:55:24..054,250.36
13:55:24..149,250.12
13:55:24..244,249.89
13:55:24..358,249.66
13:55:24..454,249.41
13:55:24..549,249.18
13:55:24..644,248.9
13:55:24..757,248.61
13:55:24..852,248.29
13:55:24..950,247.95
13:55:25..047,247.57
13:55:25..158,247.18
13:55:25..254,246.76
13:55:25..348,246.33
13:55:25..444,245.89
13:55:25..556,245.42
13:55:25..652,244.95
13:55:25..750,244.48
13:55:25..846,243.99
13:55:25..956,243.53
13:55:26..054,243.11
13:55:26..146,242.72
13:55:26..245,242.35
13:55:26..357,241.98
13:55:26..452,241.62
13:55:26..547,241.3
13:55:26..643,240.98
13:55:26..754,240.71
13:55:26..851,240.45
13:55:26..945,240.19
13:55:27..043,239.93
13:55:27..155,239.65
13:55:27..251,239.4
13:55:27..347,239.2
13:55:27..441,239.02
13:55:27..554,238.85
13:55:27..649,238.71
13:55:27..750,238.56
13:55:27..844,239.82
13:55:27..955,243.83
13:55:28..050,249.13
13:55:28..149,254.34
13:55:28..243,260.81
13:55:28..354,267.13
13:55:28..454,273.31
13:55:28..546,279.28
13:55:28..641,285.08
13:55:28..757,290.73
13:55:28..852,294.85
13:55:28..949,296.08
13:55:29..044,295.85
13:55:29..157,295.61
13:55:29..254,293.99
13:55:29..348,292.37
13:55:29..445,290.78
13:55:29..556,289.23
13:55:29..654,287.7
13:55:29..749,286.17
13:55:29..844,284.69
13:55:29..958,283.27
13:55:30..054,281.92
13:55:30..149,280.58
13:55:30..245,279.28
13:55:30..356,278.04
13:55:30..450,276.83
13:55:30..547,275.65
13:55:30..641,274.56
13:55:30..757,273.55
13:55:30..852,272.57
13:55:30..950,271.62
13:55:31..047,270.68
13:55:31..157,269.78
13:55:31..249,268.88
13:55:31..356,268
13:55:31..445,267.15
13:55:31..557,266.34
13:55:31..653,265.52
13:55:31..749,264.74
13:55:31..845,263.98
13:55:31..958,263.23
13:55:32..052,262.51
13:55:32..150,261.83
13:55:32..245,262.56
13:55:32..357,263.26
13:55:32..452,263.96
13:55:32..548,263.24
13:55:32..644,262.54
13:55:32..755,261.81
13:55:32..853,261.1
13:55:32..950,260.4
13:55:33..046,259.71
13:55:33..158,259.02
13:55:33..252,256.94
13:55:33..350,254.89
13:55:33..444,252.89
13:55:33..557,252.35
13:55:33..652,251.82
13:55:33..751,251.3
13:55:33..845,250.78
13:55:33..957,250.24
13:55:34..053,249.69
13:55:34..149,249.16
13:55:34..246,248.63
13:55:34..356,248.08
13:55:34..453,247.5
13:55:34..550,246.9
13:55:34..646,246.29
13:55:34..757,245.68
13:55:34..853,245.12
13:55:34..950,244.58
13:55:35..045,245.45
13:55:35..157,246.31
13:55:35..252,247.18
13:55:35..349,248.05
13:55:35..445,248.94
13:55:35..557,249.81
13:55:35..653,250.69
13:55:35..748,250.21
13:55:35..842,249.72
13:55:35..957,249.27
13:55:36..053,248.86
13:55:36..150,248.49
13:55:36..245,248.15
13:55:36..357,247.88
13:55:36..453,247.61
13:55:36..550,247.36
13:55:36..645,247.13
13:55:36..758,248.29
13:55:36..853,249.43
13:55:36..975,250.52
13:55:37..046,250.17
13:55:37..157,249.82
13:55:37..254,249.45
13:55:37..350,249.05
13:55:37..445,248.68
13:55:37..558,248.3
13:55:37..650,247.91
13:55:37..749,247.53
13:55:37..846,247.16
13:55:37..958,246.79
13:55:38..053,246.43
13:55:38..150,246.05
13:55:38..245,244.3
13:55:38..359,242.57
13:55:38..453,239.48
13:55:38..549,236.47
13:55:38..645,233.54
13:55:38..758,230.65
13:55:38..853,229.2
13:55:38..952,227.81
13:55:39..045,226.44
13:55:39..158,225.13
13:55:39..253,225.27
13:55:39..350,224.07
13:55:39..445,224.3
13:55:39..555,224.52
13:55:39..655,224.74
13:55:39..747,224.98
13:55:39..846,223.85
13:55:39..958,222.71
13:55:40..053,221.59
13:55:40..149,220.52
13:55:40..244,219.43
13:55:40..359,219.7
13:55:40..453,219.98
13:55:40..549,220.26
13:55:40..645,220.53
13:55:40..757,220.77
13:55:40..853,221.01
13:55:40..946,221.28
13:55:41..045,221.55
13:55:41..156,221.8
13:55:41..254,222.04
13:55:41..350,222.29
13:55:41..445,222.5
13:55:41..559,222.7
13:55:41..653,222.88
13:55:41..751,223.03
13:55:41..847,223.15
13:55:41..957,223.27
13:55:42..053,223.38
13:55:42..150,223.5
13:55:42..245,223.63
13:55:42..359,222.38
13:55:42..455,221.18
13:55:42..551,219.98
13:55:42..647,218.85
13:55:42..757,217.79
13:55:42..853,216.77
13:55:42..951,215.8
13:55:43..047,216.25
13:55:43..160,216.71
13:55:43..253,217.17
13:55:43..346,219.02
13:55:43..442,220.86
13:55:43..554,222.7
13:55:43..650,224.5
13:55:43..747,226.25
13:55:43..842,227.95
13:55:43..954,229.61
13:55:44..053,229.81
13:55:44..149,230
13:55:44..245,230.17
13:55:44..358,230.34
13:55:44..454,230.51
13:55:44..552,230.67
13:55:44..646,230.83
13:55:44..759,231.01
13:55:44..853,231.2
13:55:44..949,231.39
13:55:45..045,231.59
13:55:45..158,231.79
13:55:45..253,231.98
13:55:45..351,232.17
13:55:45..446,232.33
13:55:45..557,232.46
13:55:45..653,232.54
13:55:45..751,232.58
13:55:45..845,233.99
13:55:45..959,235.38
13:55:46..055,236.75
13:55:46..150,238.07
13:55:46..245,239.36
13:55:46..357,240.62
13:55:46..453,241.82
13:55:46..552,241.62
13:55:46..646,241.43
13:55:46..758,241.24
13:55:46..854,239.66
13:55:46..951,238.07
13:55:47..045,236.5
13:55:47..157,234.95
13:55:47..254,233.42
13:55:47..349,231.92
13:55:47..446,230.46
13:55:47..557,230.4
13:55:47..653,230.38
13:55:47..750,230.35
13:55:47..842,230.34
13:55:47..959,230.36
13:55:48..054,230.39
13:55:48..152,230.45
13:55:48..246,230.52
13:55:48..358,230.57
13:55:48..454,230.61
13:55:48..550,230.65
13:55:48..645,230.66
13:55:48..758,230.68
13:55:48..853,230.69
13:55:48..950,230.67
13:55:49..045,230.66
13:55:49..158,230.6
13:55:49..254,230.57
13:55:49..351,230.54
13:55:49..446,230.55
13:55:49..558,230.57
13:55:49..653,230.6
13:55:49..750,230.67
13:55:49..846,230.75
13:55:49..958,230.89
13:55:50..053,231.01
13:55:50..151,231.16
13:55:50..247,231.29
13:55:50..358,231.4
13:55:50..455,231.5
13:55:50..550,231.59
13:55:50..647,231.71
13:55:50..759,231.79
13:55:50..854,231.83
13:55:50..949,231.84
13:55:51..047,231.86
13:55:51..157,231.92
13:55:51..254,231.97
13:55:51..350,232.02
13:55:51..445,232.05
13:55:51..557,232.09
13:55:51..653,232.09
13:55:51..750,232.09
13:55:51..846,233.47
13:55:51..959,234.81
13:55:52..055,236.1
13:55:52..151,237.31
13:55:52..247,238.49
13:55:52..358,241.02
13:55:52..453,243.51
13:55:52..549,245.9
13:55:52..645,248.24
13:55:52..758,250.55
13:55:52..853,251.45
13:55:52..950,250.94
13:55:53..045,250.45
13:55:53..158,250
13:55:53..283,249.58
13:55:53..351,247.8
13:55:53..447,246.1
13:55:53..559,244.48
13:55:53..655,242.88
13:55:53..751,241.31
13:55:53..847,239.78
13:55:53..959,239.66
13:55:54..055,239.54
13:55:54..150,239.4
13:55:54..246,239.26
13:55:54..359,239.15
13:55:54..455,239.01
13:55:54..549,238.85
13:55:54..647,238.69
13:55:54..758,238.53
13:55:54..854,238.37
13:55:54..950,238.25
13:55:55..047,238.14
13:55:55..159,238.03
13:55:55..254,237.93
13:55:55..350,237.78
13:55:55..445,237.62
13:55:55..558,237.48
13:55:55..652,237.36
13:55:55..752,237.27
13:55:55..846,237.23
13:55:55..958,237.18
13:55:56..054,237.16
13:55:56..151,237.14
13:55:56..247,238.48
13:55:56..357,239.85
13:55:56..455,241.23
13:55:56..552,242.58
13:55:56..646,243.9
13:55:56..758,245.15
13:55:56..854,246.35
13:55:56..951,247.51
13:55:57..047,248.64
13:55:57..158,249.76
13:55:57..254,249.48
13:55:57..352,249.16
13:55:57..446,248.83
13:55:57..558,248.5
13:55:57..654,248.15
13:55:57..753,247.84
13:55:57..846,247.53
13:55:57..959,247.26
13:55:58..050,246.98
13:55:58..151,246.68
13:55:58..244,246.37
13:55:58..358,246.08
13:55:58..454,245.81
13:55:58..551,245.55
13:55:58..645,245.31
13:55:58..759,245.11
13:55:58..853,244.9
13:55:58..951,244.67
13:55:59..046,244.39
13:55:59..159,244.15
13:55:59..255,243.91
13:55:59..351,243.64
13:55:59..447,243.38
13:55:59..557,243.11
13:55:59..654,242.85
13:55:59..752,242.56
13:55:59..846,243.62
13:55:59..958,244.66
13:56:00..052,245.73
13:56:00..150,246.78
13:56:00..246,247.82
13:56:00..358,248.87
13:56:00..454,248.5
13:56:00..546,248.14
13:56:00..648,247.77
13:56:00..758,247.45
13:56:00..855,245.77
13:56:00..951,244.13
13:56:01..046,242.5
13:56:01..158,240.91
13:56:01..254,239.37
13:56:01..350,237.87
13:56:01..446,237.81
13:56:01..557,237.76
13:56:01..654,237.69
13:56:01..751,237.62
13:56:01..846,237.55
13:56:01..959,237.45
13:56:02..055,237.35
13:56:02..150,237.22
13:56:02..247,237.06
13:56:02..359,236.89
13:56:02..455,236.68
13:56:02..550,236.48
13:56:02..646,236.25
13:56:02..780,234.61
13:56:02..854,232.95
13:56:02..950,231.32
13:56:03..046,229.71
13:56:03..158,228.13
13:56:03..256,226.6
13:56:03..350,225.1
13:56:03..447,225.03
13:56:03..557,224.97
13:56:03..655,224.93
13:56:03..751,226.31
13:56:03..846,227.7
13:56:03..961,229.08
13:56:04..055,230.45
13:56:04..149,231.8
13:56:04..246,233.11
13:56:04..358,234.36
13:56:04..454,234.19
13:56:04..551,234.04
13:56:04..647,233.93
13:56:04..759,233.82
13:56:04..854,233.74
13:56:04..952,233.66
13:56:05..047,233.59
13:56:05..159,233.57
13:56:05..255,233.57
13:56:05..350,233.61
13:56:05..446,233.65
13:56:05..558,233.66
13:56:05..658,233.69
13:56:05..751,233.71
13:56:05..848,233.73
13:56:05..958,233.78
13:56:06..056,233.85
13:56:06..150,233.89
13:56:06..246,233.87
13:56:06..358,233.84
13:56:06..455,235.19
13:56:06..550,236.49
13:56:06..647,237.73
13:56:06..760,238.96
13:56:06..855,240.17
13:56:06..946,241.34
13:56:07..046,242.46
13:56:07..158,243.55
13:56:07..257,244.64
13:56:07..351,245.73
13:56:07..446,245.41
13:56:07..558,245.12
13:56:07..655,244.84
13:56:07..751,244.54
13:56:07..847,244.24
13:56:07..959,243.97
13:56:08..055,243.68
13:56:08..151,243.41
13:56:08..247,243.13
13:56:08..358,242.85
13:56:08..455,242.59
13:56:08..550,242.33
13:56:08..649,242.08
13:56:08..755,241.83
13:56:08..855,241.58
13:56:08..950,241.29
13:56:09..049,241.04
13:56:09..158,240.78
13:56:09..253,240.57
13:56:09..351,240.38
13:56:09..447,240.19
13:56:09..585,240.03
13:56:09..653,239.86
13:56:09..746,239.71
13:56:09..847,239.58
13:56:09..959,239.49
13:56:10..055,240.78
13:56:10..150,242.1
13:56:10..248,243.35
13:56:10..359,244.5
13:56:10..454,245.63
13:56:10..552,246.74
13:56:10..646,247.84
13:56:10..758,248.94
13:56:10..855,249.99
13:56:10..952,251
13:56:11..047,250.57
13:56:11..158,250.11
13:56:11..256,249.65
13:56:11..350,249.25
13:56:11..448,248.86
13:56:11..559,248.46
13:56:11..654,248.07
13:56:11..750,247.69
13:56:11..848,247.29
13:56:11..961,246.92
13:56:12..056,246.58
13:56:12..150,246.27
13:56:12..246,245.99
13:56:12..358,245.71
13:56:12..454,245.41
13:56:12..551,245.12
13:56:12..647,244.84
13:56:12..758,244.55
13:56:12..854,244.31
13:56:12..953,244.04
13:56:13..047,243.77
13:56:13..158,243.55
13:56:13..256,244.75
13:56:13..346,245.97
13:56:13..448,247.21
13:56:13..560,248.45
13:56:13..657,249.63
13:56:13..750,250.74
13:56:13..848,251.79
13:56:13..958,252.78
13:56:14..057,253.72
13:56:14..150,254.6
13:56:14..246,254.02
13:56:14..359,253.45
13:56:14..456,252.84
13:56:14..551,252.21
13:56:14..648,251.6
13:56:14..756,251.02
13:56:14..855,250.47
13:56:14..952,249.91
13:56:15..047,249.33
13:56:15..172,248.75
13:56:15..250,248.16
13:56:15..351,247.53
13:56:15..449,246.94
13:56:15..555,246.36
13:56:15..655,245.77
13:56:15..750,245.18
13:56:15..847,244.62
13:56:15..958,244.11
13:56:16..054,243.62
13:56:16..150,243.16
13:56:16..247,242.69
13:56:16..358,242.21
13:56:16..453,241.75
13:56:16..550,241.27
13:56:16..647,240.8
13:56:16..759,240.37
13:56:16..855,239.91
13:56:16..949,239.46
13:56:17..047,239.04
13:56:17..158,238.66
13:56:17..255,238.33
13:56:17..350,236.65
13:56:17..448,235.03
13:56:17..558,233.45
13:56:17..655,231.91
13:56:17..750,231.76
13:56:17..848,234.41
13:56:17..959,238.39
13:56:18..056,242.28
13:56:18..151,246.05
13:56:18..247,249.76
13:56:18..359,254.75
13:56:18..451,259.61
13:56:18..552,264.39
13:56:18..646,269.09
13:56:18..760,272.31
13:56:18..854,272.73
13:56:18..952,271.78
13:56:19..049,270.86
13:56:19..159,270
13:56:19..256,269.16
13:56:19..353,268.37
13:56:19..447,267.63
13:56:19..559,266.92
13:56:19..655,266.23
13:56:19..750,265.53
13:56:19..849,264.84
13:56:19..958,264.17
13:56:20..056,263.51
13:56:20..152,262.85
13:56:20..247,262.18
13:56:20..358,262.88
13:56:20..456,263.55
13:56:20..552,264.21
13:56:20..648,264.86
13:56:20..759,266.9
13:56:20..855,268.9
13:56:20..952,270.85
13:56:21..047,272.77
13:56:21..159,274.66
13:56:21..256,277.91
13:56:21..351,279.76
13:56:21..447,281.56
13:56:21..559,283.31
13:56:21..655,285.02
13:56:21..751,285.3
13:56:21..847,285.56
13:56:21..959,285.84
13:56:22..056,286.11
13:56:22..150,286.36
13:56:22..249,285.2
13:56:22..361,284.06
13:56:22..455,282.93
13:56:22..550,281.81
13:56:22..647,280.72
13:56:22..759,279.63
13:56:22..855,278.54
13:56:22..951,277.48
13:56:23..048,276.44
13:56:23..160,275.41
13:56:23..255,274.43
13:56:23..352,273.46
13:56:23..447,272.51
13:56:23..558,271.58
13:56:23..655,270.69
13:56:23..752,269.83
13:56:23..847,269.02
13:56:23..958,268.2
13:56:24..056,267.43
13:56:24..152,266.66
13:56:24..247,265.88
13:56:24..359,265.08
13:56:24..456,264.31
13:56:24..552,264.97
13:56:24..647,268.36
13:56:24..760,273.06
13:56:24..855,280.45
13:56:24..952,289.05
13:56:25..047,297.43
13:56:25..159,305.62
13:56:25..255,313.6
13:56:25..351,321.4
13:56:25..447,329.03
13:56:25..559,335.07
13:56:25..655,338.17
13:56:25..752,339.82
13:56:25..847,338.67
13:56:25..960,336.16
13:56:26..057,333.66
13:56:26..152,331.2
13:56:26..249,328.81
13:56:26..359,326.47
13:56:26..455,324.17
13:56:26..553,321.93
13:56:26..648,319.73
13:56:26..759,317.54
13:56:26..855,315.33
13:56:26..953,313.12
13:56:27..049,310.96
13:56:27..160,308.85
13:56:27..256,306.79
13:56:27..351,304.8
13:56:27..448,302.86
13:56:27..560,300.95
13:56:27..655,299.09
13:56:27..750,297.27
13:56:27..847,295.58
13:56:27..958,293.96
13:56:28..055,292.4
13:56:28..152,290.91
